song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP111,Protect boy vote.,Danielle Lee,Market.,Country,28/10/2019,214,33,6691534,Korean,Yes,Def Jam,Amber Franklin,Jeanette Nelson,Alfred Young
SP112,Natural name ok.,Sheryl Taylor,Line pattern.,Hip-Hop,22/05/2023,303,60,43575055,English,Yes,Atlantic Records,Erika Scott,Melissa Davis,Jason Gutierrez
SP113,Use.,Kathleen Hart,Senior.,Electronic,15/12/2021,133,21,14869213,English,Yes,Def Jam,Ryan Campbell,Jose Bender,Brad Peterson
SP114,Few old prevent.,James Martin,Record.,Hip-Hop,18/12/2021,299,87,12135538,English,No,Sony Music,Jorge Acevedo,Kimberly Jones,George Stuart
SP115,Quite south.,Daniel Jensen,Each.,Hip-Hop,12/06/2012,241,31,12487185,English,No,Universal Music,Andrew Parks,Steven Randolph,Wendy Sanchez
SP116,Such admit those.,Brandy Wall,Of foot.,Electronic,23/09/2006,249,50,44202782,English,Yes,Sony Music,Michele Lynn,Deborah Sweeney,Jonathan Smith
SP117,Very.,Peter Dean,Car list.,Electronic,02/03/2010,212,48,72742532,English,No,Def Jam,Jennifer Sheppard,Sarah Ayala,William Baxter
SP118,Better a.,Kara Lee,Top although.,Hip-Hop,24/03/1999,239,69,12928369,Italian,Yes,Atlantic Records,Jimmy Lopez,David Hayes,Laura Figueroa
SP119,Television away American physical.,Mark Leonard,Sort.,Pop,17/06/2019,163,74,60772314,Korean,Yes,Indie,Lauren Grant,Kevin King,Martha Jones
SP120,Social.,Laura Heath,Rather.,Pop,28/05/2000,217,45,37687187,Spanish,No,Def Jam,Amanda Wallace,Daniel Stewart,Trevor Miller
SP121,How listen.,Mark Turner,Born benefit.,Pop,06/07/2000,194,70,96507095,Spanish,No,Warner Music,Russell Wilson,Jill Brown,Jennifer Alexander
SP122,Republican race water.,Tyler Middleton,War.,Hip-Hop,12/04/2007,283,65,1583606,English,Yes,Universal Music,Melinda Watson,Keith Rojas,Susan Kelly
SP123,Remain Mr.,Robin Graham,Letter.,Electronic,15/01/2022,225,96,45505797,English,Yes,Indie,Alex Oliver,Lisa Lopez,Jacqueline Patton
SP124,Magazine imagine evening.,Christine Smith,Anyone.,Pop,26/12/1996,187,70,22808843,English,Yes,Universal Music,Joseph Barker,Jessica Hicks,Karen Floyd
SP125,Tough watch can.,Christopher Frazier,Scientist expert.,Pop,23/03/1996,248,80,87391109,English,Yes,Atlantic Records,Amanda Johnson,Donna Payne,Mathew Snow
SP126,Their major concern.,Abigail Johns,Him.,Classical,10/10/2017,194,44,50583345,English,Yes,Atlantic Records,Felicia Hernandez,Reginald Sanchez,David Wagner
SP127,Blood order.,Holly Parker,Left instead.,Hip-Hop,18/03/2012,273,27,92145652,English,No,Sony Music,Stacey Schneider,Megan Torres,Matthew King
SP128,Either front perhaps.,William Estrada,Wife together.,Hip-Hop,04/02/2005,219,74,243804,Korean,No,Universal Music,Marissa Gillespie,Scott Williams,Justin Simmons
SP129,Which hand relationship.,Monica Stevens,Each season.,Electronic,17/05/2012,187,8,99992156,English,No,Sony Music,Terri Osborn,Lauren Reed,Joseph Bender
SP130,Chair it.,Jacob Kelly,Always decision.,Jazz,30/06/2004,209,28,91186961,Spanish,No,Indie,Monica Smith,Tyler Larsen,Mitchell Galvan
SP131,Individual support number but.,Yolanda Brown,Future simple.,Pop,02/02/2023,255,61,62132897,Spanish,Yes,Atlantic Records,Heidi Powell,Cameron Robles,Ashley Martinez
SP132,Spend enter beat scientist.,Tina Stanley,Collection.,Pop,09/04/2014,232,82,71375767,English,Yes,Universal Music,Joseph Wallace,Heather Mccoy,Catherine Potter
SP133,Produce fear.,Melanie White,Agency.,Pop,16/04/2022,254,65,35488950,Spanish,Yes,Def Jam,Samuel Long,Justin Jones,Kara Black
SP134,Physical local improve.,Emily Thompson,Beautiful.,Pop,25/11/2022,260,96,22899542,English,No,Warner Music,Michael Wilson,Darryl Boyd,Donald Lewis
SP135,Including every art.,Vanessa Powell,Continue suddenly.,Country,03/07/2023,316,32,69347246,English,Yes,Universal Music,Jessica Brown,Scott Huber,Mrs. Stephanie Daniels MD
SP136,Soon town example.,Kathryn Mcdonald,Within growth.,Hip-Hop,06/12/2012,241,55,44344151,English,Yes,Indie,Danielle Reynolds,David Jackson,Andrew Mcguire
SP137,Dinner clearly effect now.,Taylor Castro MD,Finish far.,Electronic,21/06/2008,227,44,72995959,English,No,Sony Music,Christopher Bennett,Molly Shelton,Heidi Morris
SP138,Piece short ever which.,Jordan Moody,Once good.,Pop,24/10/2020,247,59,16878479,English,Yes,Sony Music,William Hernandez,Angela Robbins,Joseph Owens
SP139,Establish film speak.,Alison Wilson,Threat.,Country,18/01/1997,259,23,75184688,English,No,Universal Music,Christian Mcneil,Gloria Ramos,Andrea Fields
SP140,Kind.,Chelsea Cook,Ground responsibility.,Hip-Hop,19/02/1999,234,56,84418826,English,No,Indie,Lisa Morrow,Beverly Brady DDS,Adam Daniels
SP141,Always line year.,Michael Hardin,Piece.,Country,22/01/2007,200,46,1462654,English,No,Atlantic Records,Brian Roman,Katie Wheeler,Kathryn Gibson
SP142,Partner find.,Kyle Brown,Market.,Hip-Hop,22/11/2006,278,61,81556922,French,No,Indie,Marvin Wright,Victoria Garcia,Karen Adams
SP143,Minute mother.,Leah Johnson,Ground.,Electronic,02/02/2000,284,44,7705916,English,No,Def Jam,Lisa Smith,William Morris,Carol Mcmillan
SP144,Size her.,Devin Holmes,Far.,Pop,25/03/2009,337,64,73150146,English,Yes,Universal Music,Kara Ellis,Cindy Mercado,Chris Warner
SP145,Head.,Carol Beltran,Class.,Electronic,08/08/2005,208,39,96417685,English,No,Indie,Brian Newton,Sara Moreno,Courtney Cunningham
SP146,Specific civil.,Gabrielle Davis,Less trial.,Hip-Hop,09/03/2023,214,70,11043923,Spanish,Yes,Def Jam,Julie Foster,Matthew Jones,Mrs. Destiny Barrett
SP147,Bed company argue.,Gina Hernandez,Among.,Jazz,31/12/2016,237,30,54162540,English,Yes,Atlantic Records,Stephen Gregory,Michael Flynn,Kathryn Johnson
SP148,Loss.,Ryan Maynard,Beat store.,Pop,27/08/2004,260,10,85273794,English,Yes,Def Jam,Nichole Galvan,Justin Perez,Dylan Scott
SP149,Share yes of.,Charles Walls,Woman.,Electronic,03/12/2003,196,64,15556454,Korean,No,Def Jam,Amy Roman,Eric Smith,David Phelps
SP150,Set table.,Marcus Hayes,View miss.,Classical,29/12/2002,203,57,94853153,English,Yes,Universal Music,Gary Anderson,Donna Smith,Lisa Burnett
SP151,Interesting news everyone.,Rick Ramos,Hold.,Hip-Hop,16/12/2019,222,85,31198193,English,No,Atlantic Records,Helen Smith,Ashley Vincent,Stephanie Jackson
SP152,Option apply speak during.,Joseph Curtis,Almost.,Electronic,21/11/2008,223,87,60266590,Japanese,No,Sony Music,Jacob Baker,Krista Berger,Anna Foster
SP153,Among.,Douglas Cuevas,Test old.,Hip-Hop,27/07/2006,166,79,21618880,French,Yes,Warner Music,Melissa Kirby,Derek Young,Michael Walton
SP154,Reality focus scientist.,Andrew Lewis,Standard.,Pop,23/11/2001,196,30,28028259,English,Yes,Def Jam,Thomas Sullivan,Susan Jones,Jeffrey Rodriguez
SP155,Sell hundred newspaper.,Ryan Stone,Job.,Reggae,28/09/2003,172,36,66832009,English,Yes,Indie,Lance Carlson,Miranda Goodman,Gloria Mcconnell
SP156,Executive information.,Terry Pittman,Me stay.,Country,17/01/1999,188,38,45091589,English,No,Universal Music,Elizabeth Duffy,Mark Paul,Robin Ferguson
SP157,All.,Meagan Miller,Huge.,Electronic,28/10/2007,262,78,92115452,English,No,Universal Music,Annette Contreras,Zachary Graham,Lucas Jackson
SP158,Catch significant.,Andrew Dillon,Military.,Electronic,21/12/2016,189,79,38750465,English,No,Def Jam,Gregory Turner,Jill Wong,Eric Becker
SP159,Benefit bed painting.,Kenneth Franklin,Test.,Electronic,11/05/2005,233,67,61366221,Spanish,No,Sony Music,Robert Nicholson,Craig Cooper,Samantha Arnold
SP160,Dog audience about analysis.,Victoria Griffith,After.,Electronic,07/12/2009,303,26,52197729,English,Yes,Def Jam,Amber Garrett,Joe Lawrence,Caleb Henry
SP161,Camera would.,Mary Walker,Wait few.,Pop,06/02/2006,189,26,34492177,English,Yes,Atlantic Records,Jasmine Simpson,Michael Rios DDS,Jennifer Clark
SP162,Wonder provide around.,Karen Armstrong,Writer.,Hip-Hop,25/09/2012,269,76,84895882,English,No,Atlantic Records,Derrick Contreras,Shelby Mendez,Shannon Peterson
SP163,Risk officer.,Allison Hunt,Television level.,Electronic,28/12/2003,254,33,90978513,English,No,Def Jam,Brandy Pugh,Steven Alvarado,Rebecca Ortega
SP164,Organization west special.,Christopher Cunningham,Away rather.,Electronic,08/11/1996,300,61,44760697,English,No,Sony Music,Dawn Ochoa,Jennifer Warner,Felicia Brown
SP165,Example loss floor.,Jose Bradley,Rock almost.,Pop,23/11/2021,269,96,19087489,English,Yes,Indie,Catherine Byrd,Keith Foster,Cathy Anderson
SP166,Court energy even.,Sergio Williams,Tonight.,Country,16/03/2010,253,77,77048111,Italian,Yes,Universal Music,Suzanne Murphy,Joseph Reyes,Walter Stafford
SP167,Form treatment.,Gregory Gilmore,Performance.,Electronic,10/05/2021,222,43,2943400,English,No,Warner Music,Carrie Brown,Erica Hansen,Jared Mcconnell
SP168,Government spring.,Thomas Adams,End college.,Pop,08/05/2012,199,31,63534672,English,No,Def Jam,Rebecca Small,Donna Cole,Vincent Johnson
